text,category
plus you've added commercials to the experience... tacky.,Satisfied
"yes, nearly every time I fly VX this “ear worm” won’t go away :)",Satisfied
"Well, I didn't…but NOW I DO! :-D",Satisfied
"it was amazing, and arrived an hour early. You're too good to me.",Satisfied
I &lt;3 pretty graphics. so much better than minimal iconography. :D,Satisfied
This is such a great deal! Already thinking about my 2nd trip to  &amp; I haven't even gone on my 1st trip yet! ;p,Satisfied
I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,Satisfied
Thanks!,Satisfied
SFO-PDX schedule is still MIA.,Flight Issue
So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,Satisfied
I ❤️ flying . ☺️👍,Satisfied
you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,Satisfied
I love this graphic. http://t.co/UT5GrRwAaA,Satisfied
I love the hipster innovation. You are a feel good brand.,Satisfied
this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via,Satisfied
Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,Satisfied
"Done and done! Best airline around, hands down!",Satisfied
"View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",Satisfied
I'm #elevategold for a good reason: you rock!!,Satisfied
wow this just blew my mind,Satisfied
Julie Andrews all the way though  was very impressive! NO to,Satisfied
you know it. Need it on my spotify stat #guiltypleasures,Satisfied
I'm Lady Gaga!!! She is amazing! 😊,Satisfied
love all three but you really can't beat the classics!,Satisfied
"Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",Flight Issue
Congrats on winning the  award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,Satisfied
everything was fine until you lost my bag,Luggage Issue
"not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",Satisfied
awesome. I flew yall Sat morning. Any way we can correct my bill ?,Satisfied
I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,Satisfied
you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,Flight Issue
I like the TV and interesting video . Just disappointed in cancelled flight when other flights went out to jfk on Saturday .,Flight Issue
"just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",Flight Issue
why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,Flight Issue
how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,Flight Issue
your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,Flight Issue
"- amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",Satisfied
"has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",Satisfied
"has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",Satisfied
Have a great week 🌞✈,Satisfied
come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,Satisfied
"should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",Flight Issue
"is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",Satisfied
and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,Satisfied
your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,Satisfied
"Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",Satisfied
thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,Satisfied
you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,Satisfied
completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,Satisfied
your assistance yesterday when u cancelled our flight was to give us a hotel hotline  Shame on you!,Flight Issue
Another delayed flight? #likingyoulessandless,Flight Issue
you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,Satisfied
always!!! Xoxo,Satisfied
best customer service rep in the world! #irmafromDallas takes the cake!!!,Satisfied
please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,Flight Issue
you have amazing staff &amp; super helpful as I just ran the  #PrincessHalf they have spoiled me with comfort!!!,Satisfied
"I paid the premium to fly you across the country, you cancelled my flight and offer no check fee or upgrade love? Sad face :(",Flight Issue
Always have it together!!! You're welcome! RT :  You're so welcome.,Satisfied
#flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,Satisfied
thank you for checking in. tickets are purchased and customer is happy ;-),Satisfied
How do I reschedule my cancelled flights online? The change button is greyed out!,Flight Issue
"got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",Flight Issue
"our flight into lga was cancelleded. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",Flight Issue
Thank you for the follow,Satisfied
shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,Flight Issue
Flight from BOS &gt; LAS tomorrow was cancelled. No notification; wait times are 1+ hour. Will you rebook on another airline?,Flight Issue
😎 RT : You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,Satisfied
Only way to fly! #Elevate #Gold,Satisfied
you will match my #AmericanAirlines status? Cool!,Satisfied
thanks!,Satisfied
Because we never rec'd cancellation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,Flight Issue
You have any flights flying into Boston tomorrow? I need to be home and you cancelled my flight and didn't do anything,Flight Issue
you stink. Flight cancelleded from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,Flight Issue
I love your guy's song! We're dancing to it for our high school dance revue,Satisfied
"done! Thank you for the quick response, apparently faster than sitting on hold ;)",Satisfied
cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,Satisfied
Keep up the great work :),Satisfied
my goodness your people  field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY,Satisfied
Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,Satisfied
"Thanks so much for the awesome support, you guys rock!",Satisfied
flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.,Flight Issue
why cancelled flights today? No precipitation to be scared of!  ❄️❄️❄️,Flight Issue
twitter team. you guys killed it for rescheduling me asap. thank you!,Satisfied
You guys charged me $100 to reschedule a flight that was then cancelled and are now refusing to refund it. What's the deal?,Flight Issue
I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin,Flight Issue
"why cancelled flight VX413? One sec its delayed, on my to airport, the next its cancelled?Gonna email or call me to reschedule?",Flight Issue
I was so looking forward to my first flight with you today but it was cancelled along with the subsequent one ...,Flight Issue
when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,Satisfied
wish I can afford to fly with you next Friday  going back home.. love everything  about your airline,Satisfied
Like http://t.co/VPqEm31XUQ,Satisfied
You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,Satisfied
"Awesome! RT : Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy",Satisfied
thanks so much!,Satisfied
", the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  's http://t.co/wU3LbCNcr9",Satisfied
Very nicely done. 👏,Satisfied
I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;),Satisfied
What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,Flight Issue
"is todays flight from Palm Springs, Ca to JFK in NY cancelled?",Flight Issue
hahaha 😂 YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,Satisfied
sounds like fun !,Satisfied
"We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?",Luggage Issue
"classiq, luv Virgin America. Greetingz",Satisfied
Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,Satisfied
thanks guys! Sweet route over the Rockies #airplanemodewason,Satisfied
love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!,Satisfied
"thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free.",Satisfied
Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo,Satisfied
", you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!",Satisfied
thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet,Satisfied
I see what you did there ;),Satisfied
your inflight team makes the experience #amazing!,Satisfied
cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J,Satisfied
fav airline,Satisfied
we have a hot female pilot! Sweet! DCA to SFO! :-),Satisfied
already contacted Central Baggage &amp; sent DM.  is charging me for the dress that was in the lost suitcase #help,Luggage Issue
Thank you!!,Satisfied
would love to do more for virgin just like I do for,Satisfied
loved it. Can't wait for Monday's return flight... Mostly just to watch the inflight safety video again. #sorrynotsorry,Satisfied
"lost my luggage 4 days ago on flight VX 112 from LAX to IAD &amp; I'm calling every day, no response.Please give me back my stuff",Luggage Issue
Hi! Just wanted to see if you have any new routes planned this year for Newark. Love flying you guys and hope to do so more!,Satisfied
"I mean. Probably inappropriate while on board.. But, it's on!",Satisfied
happy to spend the day together. Let's do this!,Satisfied
. They were very understanding and helped me out.  Thx! #Comps,Satisfied
thank you! I absolutely will 😎,Satisfied
How about some free drinks on the flight back for the free promo?,Satisfied
thanks!,Satisfied
"my luggage is gone. I've filed my paperwork, promised a call/email. Still no resolution or response from central luggage.",Luggage Issue
Thanks!,Satisfied
thanks for taking care of  on her flight!! #rockstars #travel,Satisfied
Thanks for the lovely soft views! #travel #SAN to #SFO http://t.co/CnctL7G1ef,Satisfied
"I adore you, and am so looking forward to my flight to Austin in two weeks.",Satisfied
I was so glad it was mentioned. I took my first virgin flight a few years back and it was a transformative experience.,Satisfied
"spending my birthday night with you, DAL-DCA. Get me home!",Flight Issue
"first time flying Virgin, went to #SanFrancisco .Thanks for the smooth ride. Easily my new fav airline!",Satisfied
"just promoting the product is all, had a problem with southwest and recommend noneother than the best! http://t.co/tFaNXBh1Cf",Satisfied
"love you guys, but pls get some direct routes LAS to AUS!",Satisfied
of course! I work for  and I'm obsessed with the entire Virgin family!!,Satisfied
ok! first time flying with you tonight :),Satisfied
got it squared away. Someone picked up as soon as I tweeted. Should have tweeted sooner. 😉,Satisfied
delayed to10.30!!,Flight Issue
“:  Of course. Have fun celebrating!” Thanks! Happy Chinese New Year!,Satisfied
Flight Booking Problems last second flight for next week from SFO- to SAN any chance you want to gift me a promo code since I love you guys,Satisfied
